"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YKL127W",42.036788384429,0.952748466198198,0.296497068315003,0.000293204025592206,0.00135281956795609
"YKL128C",33.5918303884152,0.635468171588027,0.269414796540559,0.00960616226752362,0.0269233606783286
"YKL129C",217.022666355961,-1.0900736736246,0.213730022717926,5.45433310228377e-08,6.08170180581404e-07
"YKL130C",29.4827904901608,0.158379597775317,0.267907845085592,0.517482629708352,0.644279178369285
"YKL132C",31.3103707489482,-0.0464926004131828,0.29441888324589,0.859916232568236,0.910259171102928
"YKL133C",61.0599777570969,0.222189500685948,0.228948270533146,0.300427787565188,0.431986147418159
"YKL134C",79.6432102828708,0.510250845002556,0.224409463076016,0.015461233995073,0.0401228388250521
"YKL135C",138.134435173856,-0.204238950615029,0.188373875160532,0.257632108188026,0.384646369410786
"YKL137W",67.5553734467743,1.00991704991923,0.310541933659517,0.000203676133525321,0.000985466887578206
"YKL138C",62.5756675785419,1.16845070208492,0.36714691320441,0.000118194091675943,0.000615161585554512
"YKL139W",37.0875668155693,0.0517163797030974,0.349046106278803,0.86159743832677,0.911345894404897
"YKL140W",138.672585861139,-0.301608582274274,0.207136790774629,0.124822278466882,0.219935525090472
"YKL141W",781.05948659809,0.340043792977685,0.175167856344041,0.0439106846653003,0.0958102155302838
"YKL142W",458.095998993254,0.108164907725843,0.191109317413435,0.554074306288459,0.676527036114981
"YKL143W",57.5105097272716,-0.134420768722436,0.261140153040372,0.574921478691173,0.695479534286198
"YKL144C",26.9197967597694,0.341354786378111,0.309832564845024,0.212025182754436,0.331171183104159
"YKL145W",348.364769489342,0.0184208902798485,0.208762482863333,0.925847009419083,0.953666100710296
"YKL146W",229.840623463957,-0.350670318827778,0.240464275475394,0.117001750525426,0.209377489934479
"YKL148C",796.748506933075,0.849881034383906,0.176495206093867,5.37338356591264e-07,4.98739551309458e-06
"YKL149C",26.8965617967191,-0.486138993076833,0.282707208363285,0.0567413474436928,0.117312216214595
"YKL150W",1237.53818554288,-0.310954625791832,0.145310597564648,0.0281698646833476,0.066417432862643
"YKL151C",426.204852858181,-0.391238490812562,0.181012027479055,0.0244795897794858,0.0587362496690894
"YKL152C",2164.45809990525,-1.32822092968125,0.173264586894109,9.50864956627183e-16,3.37284518691515e-14
"YKL154W",47.7850466278084,0.809502062294398,0.29367748435292,0.001998834621555,0.00709465264973855
"YKL155C",113.132036267784,0.422578497041678,0.22146107762962,0.042569034884113,0.0934806605952782
"YKL156W",203.456878216248,0.677637954246512,0.224662298619157,0.00130087085266797,0.0048653793005426
"YKL157W",481.078897977868,-0.49935538718317,0.244339158563428,0.0275739441152246,0.0652888158068391
"YKL159C",18.6219484941418,0.564169863743865,0.337847355948227,0.051979999384468,0.109484348174018
"YKL160W",236.423415010796,0.874699510105,0.246971813820023,0.000123635901153258,0.000638709029241643
"YKL161C",18.6799652602677,-0.00350707524700092,0.338231321461517,0.990374341248136,0.994302272653844
"YKL162C",37.7507846851651,-0.490886846043261,0.288907788522866,0.0585004039474775,0.12021725076882
"YKL163W",656.175917537776,0.157653226667628,0.237253809756237,0.476103615165893,0.604657020036227
"YKL164C",349.180845288141,1.40285729575157,0.197608201758277,4.04072882782852e-14,1.0976984801062e-12
"YKL165C",126.686936680354,2.52008953482268,0.251592612338319,1.60289049801652e-26,1.53905123852656e-24
"YKL166C",36.024042010603,0.332464762687612,0.267902117344556,0.174137550497988,0.286910279249719
"YKL167C",57.255587362948,0.467162841094808,0.270312846984572,0.0578568292015531,0.119158536177311
"YKL168C",61.9634474981238,-0.912535271788281,0.229182786619911,1.96562230730094e-05,0.000125822421027114
"YKL170W",72.3706094670703,1.17576214906287,0.231180153056356,3.93921428713053e-08,4.46791942261302e-07
