"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YHR129C",13.1512009962359,0.010601393290582,0.393246376795856,0.973834416593917,0.983281010612043
"YHR130C",10.7479627692847,0.766351167637136,0.462557935885309,0.031269616709885,0.068186360963715
"YHR131C",99.5803523974096,-0.749295652159563,0.261203464918819,0.00176217572135976,0.00625465684655991
"YHR132C",171.92390617922,-0.921145527023693,0.215582490792154,5.59420728974533e-06,4.04074453911696e-05
"YHR132W-A",60.3120537229622,0.551677431977765,0.254755599572963,0.0189447437322515,0.0451640744199096
"YHR133C",47.6613215758847,-0.408491147645598,0.256502425909902,0.084394830099056,0.153844454606102
"YHR134W",27.4772592615995,-0.35309069630664,0.322362127153873,0.213019153764838,0.321665853393814
"YHR135C",111.325045442884,0.510362198491618,0.230724039464753,0.0181985358075373,0.0438165351976546
"YHR137W",38.9877397995104,-0.543756764024424,0.291265235147426,0.0380775616686558,0.0801716222808106
"YHR138C",445.930798910036,1.59344580861713,0.221469589142749,1.8410930566481e-14,6.06689185353448e-13
"YHR139C",11.8723130087307,1.0360706416772,0.629535293624856,0.0114722184599661,0.0301789251788148
"YHR140W",73.0288356300096,1.63410049829515,0.26241517599948,1.21474609847874e-11,2.60189270093388e-10
"YHR141C",391.316514448306,-0.54337566213427,0.180730711725696,0.00174952319817386,0.0062216441191764
"YHR142W",34.855006888625,-0.135627131195127,0.290456302667657,0.604882329338898,0.705463809861429
"YHR143W",169.331845715362,0.16609387307203,0.177862731332997,0.332355055135995,0.453648358346166
"YHR143W-A",21.7278079357586,-0.53760109781897,0.321882458230223,0.0574583097130881,0.112461885649625
"YHR144C",8.24755490463936,-0.578264166439054,0.503425042016615,0.113905476019418,0.196147061209691
"YHR146W",389.779383243286,2.62476875903304,0.407695240036142,2.99113158559474e-13,8.41293525261471e-12
"YHR147C",64.6866068745159,0.167530074545329,0.223721946966964,0.426656233042345,0.545648894918937
"YHR148W",10.7813318160801,-0.329406047574349,0.435437764067551,0.334879860980861,0.456033481385407
"YHR149C",44.2431661021949,-0.438405660924891,0.266979313789244,0.0731241242933899,0.136788888696524
"YHR150W",57.8193468029405,0.199781115436734,0.246941568396379,0.383989950045163,0.50661929206385
"YHR151C",48.0571908895106,-0.606429560193877,0.337880441283119,0.0384872668520896,0.0809118871646987
"YHR152W",83.2252777259298,1.41720786918927,0.336975463709227,1.34755546704173e-06,1.13020126445111e-05
"YHR154W",46.2759334433692,0.519302373669955,0.292261378423828,0.0482617974603928,0.0970288628364359
"YHR155W",121.850212987388,-0.574682552838708,0.218849383244396,0.00533003181761782,0.0157804078640689
