"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YOR049C",130.117524887442,1.07464234098601,0.231829972331591,1.3329827342198e-06,6.55016429735883e-06
"YOR051C",160.582890098993,-0.881725930456347,0.193285596022779,2.65558981291821e-06,1.23964624209066e-05
"YOR052C",736.805124896406,1.39617562735831,0.185763096853865,1.1154587199679e-14,1.63904739089743e-13
"YOR054C",220.648711236994,0.325007070901185,0.238890047376326,0.156163151080568,0.22443163570779
"YOR056C",94.1360210007473,0.0586995410935599,0.233673922580163,0.79390746433873,0.839907041964739
"YOR057W",98.5651956106084,0.229276631720706,0.218798654101985,0.278056279409329,0.360031485708103
"YOR058C",175.642700487631,0.324450701417666,0.235296929341844,0.151146687161608,0.218134111143055
"YOR059C",146.882680212597,-0.0233823181886154,0.216214302680389,0.910961437442271,0.929487769350679
"YOR060C",15.1068498772254,-0.434035480137995,0.436776453273134,0.252369928617222,0.333914975640131
"YOR061W",97.3867383869262,-0.0802573747277151,0.240055657213441,0.72749794114759,0.786381217828208
"YOR062C",35.8011820638978,-1.47885187422716,0.314899093248795,4.10891543009476e-07,2.21515489159707e-06
"YOR063W",327.61496137173,0.203763786963789,0.189713499757564,0.270372070157919,0.351964015593607
"YOR064C",92.1276482311633,0.477266788092499,0.286325198027864,0.0766142528632528,0.122958148183128
"YOR065W",734.108170787938,2.83098307990523,0.304244711026869,6.74637195706111e-23,2.34815908930458e-21
"YOR066W",77.6125834524357,-0.492721813718444,0.227375478232959,0.0243709852577234,0.0459451648274412
"YOR067C",100.87351613782,-1.93001917218418,0.30776709021145,1.8960226135613e-11,1.90594764168283e-10
"YOR069W",54.3230748768382,0.192862994763262,0.266395171731697,0.446021030543959,0.533596373598133
"YOR070C",77.7532895118139,-0.254635804852834,0.239532209408841,0.267820047633986,0.349376867011869
"YOR071C",33.2385808251352,-0.886148908085502,0.314281758550046,0.00237069619808848,0.00586773650095767
"YOR073W",27.2628324846675,1.09078084190515,0.390169188113968,0.00172419653051024,0.00441473585214323
"YOR074C",27.3617403530802,1.00942275642679,0.329263489432282,0.000869235753013358,0.00239176614451899
"YOR075W",75.3283152740052,0.765035159560548,0.352613075854737,0.0172325056533739,0.0340673851557114
"YOR076C",57.7414403114297,-0.344061082940152,0.310532135001894,0.234485556452987,0.313736406569347
"YOR077W",9.88192022745174,-0.218539298598503,0.451439913231385,0.573391704971081,0.652076455990187
"YOR078W",55.8073575386564,1.29502538232643,0.466663168296792,0.00115379261740291,0.00308620129025784
"YOR079C",23.2867879784916,-0.933747111521704,0.414801234035563,0.0104845468426668,0.021909358861843
"YOR080W",49.6087073801033,0.286330433268424,0.331716531714439,0.349587720865445,0.436025535834192
"YOR081C",50.5348179032816,-0.736088723986006,0.278637400984453,0.00509187762589983,0.0115854476921008
"YOR083W",19.1721112336586,0.503862973561724,0.35161267274037,0.116383757431478,0.175457808645345
"YOR084W",24.2011967065061,0.993797278637293,0.355522119812075,0.0020984849895125,0.00526417248044825
"YOR085W",179.016885645854,-0.35723682159828,0.208012385315732,0.0763436355540239,0.122700568050368
"YOR086C",629.823763479201,0.0807998903458755,0.136027301763355,0.547251204866289,0.628250249412567
"YOR087W",53.1214267929236,-0.178675686981032,0.266886796903509,0.480922080654652,0.567186587709817
"YOR089C",215.220250305288,0.560384095681788,0.27939470589298,0.0335567297259378,0.060419472306417
"YOR090C",68.2605892524756,-1.05111134181845,0.258609188555425,1.85806134533835e-05,7.35433093972231e-05
"YOR091W",57.8784528198023,0.327738581266242,0.277803920936228,0.212038895312169,0.288715063079087
"YOR092W",320.850211910912,-0.923704403369138,0.185415992744409,3.10171252578461e-07,1.7068613691793e-06
"YOR093C",91.2654562456565,-1.65464266211036,0.297304093755498,2.71489397123788e-09,2.07112938709915e-08
"YOR094W",28.9931689303416,-0.0401795797587987,0.335140995674762,0.896508179851508,0.917936027503778
"YOR095C",27.6348405954792,0.674222628841225,0.392695704871074,0.0541314298082555,0.0911024275014128
"YOR096W",302.247436337214,0.29919059857759,0.22233470851749,0.163090442310593,0.23312388943216
"YOR097C",47.4334392499688,-0.299912095170201,0.26160907589141,0.228261578832697,0.307644901384146
