"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL329C",95.920520439024,-1.06024620466861,0.226265685328349,22.5001845851706,1.30060972323353e-05,4.03290398033827e-05
"YNL330C",102.927826211647,-0.0794571187160934,0.230051402776713,0.573972436375541,0.750522072320067,0.778595549990709
"YNL331C",30.9645367015911,-0.979348321155787,0.385503052801131,26.3852284033243,1.86431996449078e-06,6.64686164036439e-06
"YNL333W",5.79054094501654,-1.58015968083862,0.94481298061935,3.54950216338035,0.169525642284323,0.210810407631267
"YNL334C",11.5887887939034,-0.419066535238675,0.444481563036758,62.8539235812554,2.24617666601636e-14,2.13463444591214e-13
"YNL339C",214.480815963093,-4.08769586392139,0.343174018924897,182.762899682348,2.05845124780461e-40,1.36470416655046e-38
"YNR001C",1708.8321912321,1.20906221074492,0.15771974333174,102.3455629056,5.96957470434224e-23,1.26887639421687e-21
"YNR002C",51.0071822329177,0.272803341127531,0.285351039116042,26.6306592252905,1.64901962608863e-06,5.91713292376776e-06
"YNR003C",26.5344505174941,-0.795606503479906,0.365155758113929,4.8688074825639,0.0876499935430826,0.117818685503603
"YNR004W",14.0526023122931,-0.62117170663528,0.501374588238987,2.23783550900713,0.32663310060877,0.375908191215177
"YNR006W",125.305989806698,0.76032115312547,0.208933164627567,15.2989370148299,0.000476297210196423,0.00108708982114094
"YNR007C",57.5873278050518,-0.521707769821715,0.253241844403326,4.27148084392309,0.11815707188939,0.153240971903123
"YNR008W",47.6951325280835,-0.348900389172514,0.281992616456379,1.61558033654002,0.445842214693786,0.493225127856514
"YNR009W",29.5017089420321,0.101014271675284,0.336693743788032,0.136577882426863,0.933990566217875,0.941769593204299
"YNR010W",26.926670053833,1.44767419151382,0.371672799296726,16.7464143036809,0.000230973597193073,0.000567899321310474
"YNR011C",55.0451897142331,-0.577744280353064,0.255066637973644,7.54573947368157,0.0229860047625798,0.035676995686401
"YNR012W",71.4828342114653,-1.94074666613911,0.302101699130029,43.8512628121875,3.00482558241996e-10,1.8228620553918e-09
"YNR013C",86.1739844756663,-0.124064559750222,0.246037127626648,5.42908863467196,0.0662351283310948,0.0918713398943629
"YNR014W",52.3853376281927,1.53193180174212,0.273171978976202,77.7257491426436,1.324548980713e-17,1.78605648270962e-16
"YNR015W",22.2628542866369,0.335847204832286,0.371573293486096,3.07593649342338,0.214817113719469,0.260521887261263
"YNR016C",1158.7103297517,-1.38288969957434,0.259805288198295,36.1100022990399,1.44149330617403e-08,7.06040125073278e-08
"YNR017W",71.9018889558989,1.49751051437601,0.248142559901697,45.7224534754237,1.17894997688514e-10,7.52070151348609e-10
"YNR018W",292.767751126359,0.790216107687253,0.181124229733768,18.9200523772587,7.79045507750159e-05,0.000209084550971597
"YNR019W",95.4251559135732,-0.929434211974746,0.249010386383542,40.8572813278342,1.34262301304162e-09,7.48455211174054e-09
"YNR020C",54.5849071555925,0.0992695424335454,0.302928330644284,4.1572145048593,0.125104329670783,0.161237216370422
"YNR021W",80.7462516149664,1.1090896198261,0.232194360061704,39.3811678800819,2.80858808693699e-09,1.49961908496185e-08
"YNR022C",106.881893293025,2.8616718016936,0.320549224821312,76.9487399731509,1.95341006060645e-17,2.56569354422578e-16
"YNR023W",52.3425413942429,0.290756570174932,0.266838833648229,1.28840540149929,0.525081021962773,0.568463493645156
"YNR024W",64.7883529325283,1.82292475911322,0.464100745164383,15.8602748552593,0.000359736971733949,0.000845305989698886
"YNR026C",40.4122049127205,-0.959848890055872,0.347676979971167,33.6052229406512,5.04334359397823e-08,2.3097352364198e-07
"YNR027W",12.8831064675934,-0.21319933484957,0.521362465327777,2.62838575353504,0.268691102574899,0.318004512847297
"YNR028W",78.8086777688546,1.1894040086879,0.26845605726585,20.6572252437416,3.26844011845413e-05,9.41642163459444e-05
